day,hour,pm10,pm25
23,0,92.0,27.912
23,3,140.0,41.0
23,6,202.0,49.0
23,9,228.0,50.2
23,12,200.0,48.6
23,15,200.0,48.6
23,18,200.0,48.6
23,21,140.0,40.6
24,0,138.0,31.656
24,3,144.0,36.6
24,6,174.0,47.4
24,9,232.0,55.0
24,12,232.0,55.0
24,15,150.0,46.2
24,18,146.0,41.4
24,21,202.0,49.0
25,0,238.0,61.1
25,3,264.0,68.7
25,6,274.0,95.3
25,9,300.0,99.1
25,12,292.0,97.2
25,15,272.0,87.7
25,18,270.0,70.6
25,21,270.0,70.6
26,0,270.0,72.5
26,3,276.0,87.7
26,6,292.0,97.2
26,9,302.0,104.8
26,12,318.0,159.4
26,15,370.8,193.4
26,18,387.6,198.4
26,21,387.6,198.4
27,0,387.6,198.4
27,3,387.6,198.4
27,6,387.6,198.4
27,9,302.0,180.4
27,12,286.0,97.2
27,15,300.0,99.1
27,18,260.0,91.5
27,21,228.0,51.4
28,0,150.0,46.2
28,3,98.0,29.784
28,6,88.0,20.892
28,9,78.0,19.488
28,12,78.0,19.488
28,15,88.0,19.956
28,18,88.0,19.956
28,21,90.0,25.572
29,0,120.0,30.252
29,3,134.0,31.188
29,6,134.0,31.656
29,9,98.0,29.784
29,12,54.0,19.02
29,15,48.6,10.8
29,18,48.6,10.8
29,21,52.92,18.084
30,0,90.0,25.572
30,3,120.0,30.72
30,6,150.0,46.2
30,9,150.0,46.2
30,12,94.0,29.316
30,15,88.0,20.892
30,18,94.0,25.572
30,21,128.0,40.6
31,0,202.0,49.0
31,3,238.0,61.1
31,6,264.0,68.7
31,9,274.0,93.4
31,12,268.0,93.4
31,15,212.0,59.2
31,18,196.0,44.2
31,21,196.0,44.2
