day,hour,pm10,pm25
8,8,110.0,25.572
8,11,110.0,32.124
8,14,138.0,33.06
8,17,98.0,29.316
8,20,68.0,17.148
8,23,72.0,19.02
9,2,30.24,13.404
9,5,29.16,6.96
9,8,29.16,6.72
9,11,31.32,10.08
9,14,52.92,12.936
9,17,33.48,10.56
9,20,29.16,6.72
9,23,28.08,7.44
10,2,24.84,7.92
10,5,28.08,9.12
10,8,27.0,9.6
10,11,17.28,4.32
10,14,16.2,4.56
10,17,18.36,4.8
10,20,16.2,3.84
10,23,17.28,4.08
11,2,21.6,6.96
11,5,36.72,10.32
11,8,51.84,12.468
11,11,44.28,12.468
11,14,33.48,9.12
11,17,22.68,6.72
11,20,24.84,6.0
11,23,27.0,7.44
