id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
2975612,dongsi_aq,2018-04-27 00:00:00,47.0,215.0,57.0,0.7,51.0,7.0
2975613,tiantan_aq,2018-04-27 00:00:00,55.0,110.0,67.0,0.7,21.0,2.0
2975614,guanyuan_aq,2018-04-27 00:00:00,44.0,230.0,74.0,0.7,38.0,10.0
2975615,wanshouxigong_aq,2018-04-27 00:00:00,54.0,192.0,74.0,0.9,20.0,4.0
2975616,aotizhongxin_aq,2018-04-27 00:00:00,57.0,173.0,70.0,0.9,28.0,4.0
2975617,nongzhanguan_aq,2018-04-27 00:00:00,53.0,197.0,78.0,1.0,27.0,7.0
2975618,wanliu_aq,2018-04-27 00:00:00,42.0,198.0,73.0,1.0,26.0,2.0
2975619,beibuxinqu_aq,2018-04-27 00:00:00,33.0,118.0,51.0,0.6,17.0,2.0
2975620,zhiwuyuan_aq,2018-04-27 00:00:00,,,,,,
2975621,fengtaihuayuan_aq,2018-04-27 00:00:00,60.0,258.0,79.0,0.9,23.0,4.0
2975622,yungang_aq,2018-04-27 00:00:00,47.0,73.0,28.0,0.6,64.0,6.0
2975623,gucheng_aq,2018-04-27 00:00:00,36.0,149.0,51.0,0.6,41.0,3.0
2975624,fangshan_aq,2018-04-27 00:00:00,48.0,,73.0,0.8,27.0,4.0
2975625,daxing_aq,2018-04-27 00:00:00,40.0,259.0,58.0,0.3,41.0,7.0
2975626,yizhuang_aq,2018-04-27 00:00:00,50.0,241.0,93.0,0.8,10.0,6.0
2975627,tongzhou_aq,2018-04-27 00:00:00,51.0,311.0,76.0,0.9,24.0,10.0
2975628,shunyi_aq,2018-04-27 00:00:00,60.0,251.0,79.0,1.4,9.0,9.0
2975629,pingchang_aq,2018-04-27 00:00:00,40.0,173.0,70.0,0.6,10.0,5.0
2975630,mentougou_aq,2018-04-27 00:00:00,24.0,112.0,33.0,0.4,54.0,2.0
2975631,pinggu_aq,2018-04-27 00:00:00,55.0,209.0,53.0,1.5,17.0,4.0
2975632,huairou_aq,2018-04-27 00:00:00,27.0,126.0,46.0,0.6,29.0,3.0
2975633,miyun_aq,2018-04-27 00:00:00,29.0,119.0,55.0,0.5,31.0,3.0
2975634,yanqin_aq,2018-04-27 00:00:00,36.0,191.0,59.0,0.4,16.0,3.0
2975635,dingling_aq,2018-04-27 00:00:00,56.0,168.0,43.0,0.4,45.0,2.0
2975636,badaling_aq,2018-04-27 00:00:00,28.0,128.0,60.0,0.4,27.0,6.0
2975637,miyunshuiku_aq,2018-04-27 00:00:00,27.0,105.0,14.0,0.2,67.0,2.0
2975638,donggaocun_aq,2018-04-27 00:00:00,51.0,214.0,23.0,1.0,51.0,18.0
2975639,yongledian_aq,2018-04-27 00:00:00,71.0,243.0,80.0,1.0,15.0,5.0
2975640,yufa_aq,2018-04-27 00:00:00,82.0,212.0,46.0,0.8,39.0,7.0
2975641,liulihe_aq,2018-04-27 00:00:00,58.0,171.0,34.0,0.6,37.0,2.0
2975642,qianmen_aq,2018-04-27 00:00:00,50.0,198.0,90.0,0.7,27.0,6.0
2975643,yongdingmennei_aq,2018-04-27 00:00:00,45.0,204.0,117.0,0.8,37.0,10.0
2975644,xizhimenbei_aq,2018-04-27 00:00:00,61.0,192.0,84.0,0.6,26.0,3.0
2975645,nansanhuan_aq,2018-04-27 00:00:00,31.0,275.0,107.0,0.9,7.0,10.0
2975646,dongsihuan_aq,2018-04-27 00:00:00,44.0,235.0,94.0,1.1,12.0,15.0
2975668,dongsi_aq,2018-04-27 01:00:00,35.0,220.0,36.0,0.6,79.0,7.0
2975669,tiantan_aq,2018-04-27 01:00:00,47.0,188.0,33.0,0.6,69.0,3.0
2975670,guanyuan_aq,2018-04-27 01:00:00,39.0,245.0,43.0,0.6,81.0,9.0
2975671,wanshouxigong_aq,2018-04-27 01:00:00,43.0,304.0,51.0,0.8,57.0,5.0
