id,station_id,time,weather,temperature,pressure,humidity,wind_speed,wind_direction
3009195,shunyi_meo,2018-04-28 00:00:00,Sunny/clear,17.7,1009.0,54.0,1.5,120.0
3009196,hadian_meo,2018-04-28 00:00:00,Sunny/clear,17.2,1006.8,56.0,1.8,37.0
3009197,yanqing_meo,2018-04-28 00:00:00,Sunny/clear,13.7,956.4,61.0,1.0,342.0
3009198,miyun_meo,2018-04-28 00:00:00,Sunny/clear,16.8,1004.1,66.0,0.7,80.0
3009199,huairou_meo,2018-04-28 00:00:00,Sunny/clear,17.0,1003.5,60.0,0.5,120.0
3009200,shangdianzi_meo,2018-04-28 00:00:00,Sunny/clear,15.6,978.3,56.0,1.9,66.0
3009201,pinggu_meo,2018-04-28 00:00:00,Sunny/clear,17.6,1008.6,60.0,1.2,96.0
3009202,tongzhou_meo,2018-04-28 00:00:00,Hail,16.3,1009.9,67.0,1.1,139.0
3009203,chaoyang_meo,2018-04-28 00:00:00,Sunny/clear,17.2,1008.3,59.0,1.4,2.0
3009204,pingchang_meo,2018-04-28 00:00:00,Sunny/clear,17.8,1003.5,52.0,0.8,328.0
3009205,zhaitang_meo,2018-04-28 00:00:00,Sunny/clear,14.6,961.3,57.0,1.0,95.0
3009206,mentougou_meo,2018-04-28 00:00:00,Sunny/clear,17.7,1002.3,51.0,2.0,11.0
3009207,beijing_meo,2018-04-28 00:00:00,Sunny/clear,17.5,1008.5,54.0,1.6,61.0
3009208,shijingshan_meo,2018-04-28 00:00:00,Sunny/clear,17.5,1004.8,52.0,2.3,47.0
3009209,fengtai_meo,2018-04-28 00:00:00,Sunny/clear,18.8,1005.7,52.0,2.1,49.0
3009210,daxing_meo,2018-04-28 00:00:00,Sunny/clear,17.4,1007.7,58.0,1.5,63.0
3009211,fangshan_meo,2018-04-28 00:00:00,Sunny/clear,17.6,1006.4,48.0,2.5,30.0
3009212,xiayunling_meo,2018-04-28 00:00:00,Sunny/clear,15.2,964.7,63.0,0.7,60.0
3010728,shunyi_meo,2018-04-28 01:00:00,Sunny/clear,19.4,1008.8,52.0,1.1,35.0
3010729,hadian_meo,2018-04-28 01:00:00,Sunny/clear,20.2,1006.4,47.0,1.2,12.0
3010730,yanqing_meo,2018-04-28 01:00:00,Sunny/clear,16.2,956.1,51.0,0.8,355.0
