stationId,utc_time,PM2.5,PM10,NO2,CO,O3,SO2
aotizhongxin_aq,2018-05-01 00:00:00,81.0,469.0,32.0,0.4,45.0,2.0
aotizhongxin_aq,2018-05-01 01:00:00,73.0,302.0,15.0,0.3,69.0,2.0
aotizhongxin_aq,2018-05-01 02:00:00,71.0,282.0,14.0,0.3,71.0,2.0
aotizhongxin_aq,2018-05-01 03:00:00,85.0,340.0,15.0,0.3,66.0,2.0
aotizhongxin_aq,2018-05-01 04:00:00,85.0,278.0,11.0,0.3,76.0,2.0
aotizhongxin_aq,2018-05-01 05:00:00,71.0,191.0,9.0,0.3,86.0,2.0
aotizhongxin_aq,2018-05-01 06:00:00,49.0,110.0,10.0,0.2,89.0,2.0
aotizhongxin_aq,2018-05-01 07:00:00,17.0,81.0,13.0,0.2,82.0,2.0
aotizhongxin_aq,2018-05-01 08:00:00,25.0,81.0,21.0,0.3,74.0,2.0
aotizhongxin_aq,2018-05-01 09:00:00,32.0,138.0,20.0,0.4,83.0,2.0
aotizhongxin_aq,2018-05-01 10:00:00,25.0,79.0,21.0,0.4,80.0,2.0
aotizhongxin_aq,2018-05-01 11:00:00,22.0,124.0,28.0,0.4,65.0,2.0
aotizhongxin_aq,2018-05-01 13:00:00,24.0,63.0,42.0,0.5,43.0,2.0
aotizhongxin_aq,2018-05-01 14:00:00,24.0,81.0,33.0,0.5,51.0,2.0
aotizhongxin_aq,2018-05-01 15:00:00,32.0,90.0,39.0,0.6,39.0,2.0
aotizhongxin_aq,2018-05-01 16:00:00,31.0,75.0,35.0,0.6,41.0,2.0
aotizhongxin_aq,2018-05-01 17:00:00,23.0,63.0,49.0,0.4,22.0,2.0
aotizhongxin_aq,2018-05-01 18:00:00,23.0,61.0,74.0,0.5,2.0,2.0
aotizhongxin_aq,2018-05-01 19:00:00,22.0,31.0,62.0,0.3,8.0,2.0
aotizhongxin_aq,2018-05-01 20:00:00,11.0,26.0,61.0,0.3,,2.0
aotizhongxin_aq,2018-05-01 21:00:00,10.0,13.0,63.0,0.3,4.0,2.0
aotizhongxin_aq,2018-05-01 22:00:00,11.0,22.0,67.0,0.3,3.0,2.0
aotizhongxin_aq,2018-05-01 23:00:00,11.0,30.0,58.0,0.3,12.0,2.0
aotizhongxin_aq,2018-05-02 00:00:00,28.0,74.0,35.0,0.3,43.0,2.0
aotizhongxin_aq,2018-05-02 01:00:00,45.0,50.0,15.0,0.2,67.0,2.0
aotizhongxin_aq,2018-05-02 02:00:00,30.0,67.0,10.0,0.2,77.0,2.0
aotizhongxin_aq,2018-05-02 03:00:00,30.0,,7.0,0.1,90.0,2.0
aotizhongxin_aq,2018-05-02 04:00:00,28.0,,7.0,0.1,92.0,2.0
aotizhongxin_aq,2018-05-02 05:00:00,4.0,17.0,7.0,0.1,95.0,2.0
aotizhongxin_aq,2018-05-02 06:00:00,3.0,16.0,8.0,0.1,99.0,2.0
aotizhongxin_aq,2018-05-02 07:00:00,17.0,34.0,9.0,0.1,98.0,2.0
aotizhongxin_aq,2018-05-02 08:00:00,27.0,,10.0,0.1,99.0,2.0
aotizhongxin_aq,2018-05-02 09:00:00,37.0,41.0,11.0,0.1,96.0,2.0
aotizhongxin_aq,2018-05-02 10:00:00,29.0,,14.0,0.1,92.0,2.0
aotizhongxin_aq,2018-05-02 11:00:00,26.0,28.0,19.0,0.1,85.0,2.0
aotizhongxin_aq,2018-05-02 12:00:00,24.0,68.0,16.0,0.1,89.0,2.0
aotizhongxin_aq,2018-05-02 13:00:00,20.0,38.0,20.0,0.2,82.0,2.0
aotizhongxin_aq,2018-05-02 14:00:00,17.0,43.0,21.0,0.2,77.0,2.0
aotizhongxin_aq,2018-05-02 15:00:00,18.0,42.0,25.0,0.2,70.0,2.0
aotizhongxin_aq,2018-05-02 16:00:00,14.0,48.0,19.0,0.1,79.0,2.0
aotizhongxin_aq,2018-05-02 17:00:00,12.0,47.0,24.0,0.1,70.0,2.0
aotizhongxin_aq,2018-05-02 18:00:00,12.0,47.0,57.0,0.2,33.0,2.0
aotizhongxin_aq,2018-05-02 19:00:00,11.0,53.0,88.0,0.2,2.0,2.0
aotizhongxin_aq,2018-05-02 20:00:00,12.0,43.0,79.0,0.2,9.0,2.0
aotizhongxin_aq,2018-05-02 21:00:00,9.0,32.0,65.0,0.1,20.0,2.0
aotizhongxin_aq,2018-05-02 22:00:00,11.0,29.0,56.0,0.1,29.0,2.0
aotizhongxin_aq,2018-05-03 00:00:00,25.0,51.0,35.0,0.2,49.0,2.0
aotizhongxin_aq,2018-05-03 01:00:00,25.0,34.0,16.0,0.2,73.0,2.0
aotizhongxin_aq,2018-05-03 02:00:00,26.0,33.0,8.0,0.1,89.0,2.0
aotizhongxin_aq,2018-05-03 03:00:00,15.0,30.0,10.0,0.1,90.0,2.0
aotizhongxin_aq,2018-05-03 04:00:00,,8.0,,0.1,86.0,
aotizhongxin_aq,2018-05-03 05:00:00,3.0,,12.0,,,2.0
aotizhongxin_aq,2018-05-03 06:00:00,11.0,21.0,15.0,0.2,98.0,2.0
aotizhongxin_aq,2018-05-03 07:00:00,9.0,29.0,19.0,0.4,103.0,2.0
aotizhongxin_aq,2018-05-03 08:00:00,11.0,33.0,22.0,0.4,105.0,2.0
aotizhongxin_aq,2018-05-03 09:00:00,12.0,48.0,21.0,0.4,116.0,2.0
aotizhongxin_aq,2018-05-03 10:00:00,17.0,84.0,24.0,0.4,113.0,2.0
aotizhongxin_aq,2018-05-03 11:00:00,15.0,92.0,26.0,0.4,113.0,2.0
aotizhongxin_aq,2018-05-03 12:00:00,18.0,70.0,29.0,0.4,110.0,3.0
aotizhongxin_aq,2018-05-03 13:00:00,16.0,62.0,38.0,0.5,93.0,3.0
aotizhongxin_aq,2018-05-03 14:00:00,21.0,73.0,43.0,0.5,79.0,3.0
aotizhongxin_aq,2018-05-03 15:00:00,23.0,86.0,45.0,0.5,71.0,4.0
aotizhongxin_aq,2018-05-03 16:00:00,26.0,96.0,49.0,0.5,63.0,6.0
