key_col,predict_PM2.5,predict_PM10,predict_O3
aotizhongxin#2018-05-02 00:00:00,29.3637113686,75.3272711792,27.4149309387
aotizhongxin#2018-05-02 01:00:00,38.4018890953,93.4805081482,43.5379150848
aotizhongxin#2018-05-02 02:00:00,29.0422898407,74.1544452209,59.2482110596
aotizhongxin#2018-05-02 03:00:00,43.8165246124,113.047668243,72.9423517456
aotizhongxin#2018-05-02 04:00:00,26.9785009766,74.6099243469,67.886083252
aotizhongxin#2018-05-02 05:00:00,23.5888625183,59.3616273499,91.4044323425
aotizhongxin#2018-05-02 06:00:00,41.5476689453,88.8717782593,99.2281768799
aotizhongxin#2018-05-02 07:00:00,40.7697241211,97.7406013184,101.37895166
aotizhongxin#2018-05-02 08:00:00,36.9627631683,84.5752418518,81.4694237061
aotizhongxin#2018-05-02 09:00:00,41.7720757904,84.6453546143,87.8290906982
aotizhongxin#2018-05-02 10:00:00,42.451479126,84.1221583252,79.4492243042
aotizhongxin#2018-05-02 11:00:00,40.2459468842,93.6773988647,70.5554544373
aotizhongxin#2018-05-02 12:00:00,62.6166433716,105.175041199,87.1700335693
aotizhongxin#2018-05-02 13:00:00,67.2069113159,116.209045715,75.390296936
aotizhongxin#2018-05-02 14:00:00,67.6682141113,113.283031616,63.2284358215
aotizhongxin#2018-05-02 15:00:00,62.3983518982,100.59032196,54.1615284729
aotizhongxin#2018-05-02 16:00:00,62.0091461182,100.502066956,45.5889885712
aotizhongxin#2018-05-02 17:00:00,61.5265913391,103.554701538,41.7664932251
aotizhongxin#2018-05-02 18:00:00,49.6147509003,109.403572388,28.0991676331
aotizhongxin#2018-05-02 19:00:00,50.6228303528,116.955193481,24.6076416779
aotizhongxin#2018-05-02 20:00:00,47.1154893494,108.979236755,21.382396965
aotizhongxin#2018-05-02 21:00:00,50.7708190918,120.935213928,20.6132495117
aotizhongxin#2018-05-02 22:00:00,62.7703613281,127.066987915,15.1181527138
aotizhongxin#2018-05-02 23:00:00,60.5143890381,132.128270264,13.7770108032
aotizhongxin#2018-05-03 00:00:00,78.552494812,135.335612488,30.3893882751
aotizhongxin#2018-05-03 01:00:00,77.3523994446,135.140084839,56.7026252747
aotizhongxin#2018-05-03 02:00:00,78.9477470398,131.552130127,76.6886001587
aotizhongxin#2018-05-03 03:00:00,79.8281181335,124.911355591,90.7600021362
aotizhongxin#2018-05-03 04:00:00,88.385861969,117.240490723,101.036526489
aotizhongxin#2018-05-03 05:00:00,65.6883789062,116.998738098,109.593592834
aotizhongxin#2018-05-03 06:00:00,60.1280853271,107.274822998,125.295111084
aotizhongxin#2018-05-03 07:00:00,60.5880149841,92.1435501099,138.145324707
aotizhongxin#2018-05-03 08:00:00,61.2017501831,108.133059692,108.977024841
aotizhongxin#2018-05-03 09:00:00,60.0389076233,130.456845093,107.455560303
aotizhongxin#2018-05-03 10:00:00,72.1794090271,127.815429688,92.6329666138
aotizhongxin#2018-05-03 11:00:00,67.3328025818,135.77671814,76.2059265137
aotizhongxin#2018-05-03 12:00:00,72.8782196045,150.411026001,76.2883529663
aotizhongxin#2018-05-03 13:00:00,76.6387939453,116.857452393,53.083404541
aotizhongxin#2018-05-03 14:00:00,74.8688964844,124.683036804,37.9930686951
aotizhongxin#2018-05-03 15:00:00,76.1554412842,122.483657837,47.4802284241
aotizhongxin#2018-05-03 16:00:00,63.8352165222,129.592559814,46.0354270935
aotizhongxin#2018-05-03 17:00:00,79.207321167,121.574287415,29.8603572845
aotizhongxin#2018-05-03 18:00:00,74.0255203247,122.601753235,29.5181484222
aotizhongxin#2018-05-03 19:00:00,66.0141525269,80.3116912842,27.8085899353
aotizhongxin#2018-05-03 20:00:00,81.1836624146,114.794708252,18.5417232513
aotizhongxin#2018-05-03 21:00:00,93.1128311157,103.63710022,13.0516548157
aotizhongxin#2018-05-03 22:00:00,103.915847778,116.09601593,8.54385471344
aotizhongxin#2018-05-03 23:00:00,96.1439437866,131.390701294,25.3844299316
badaling#2018-05-02 00:00:00,33.7945384979,107.715229431,48.1003906708
