station_id,utc_time,PM2.5,PM10,NO2
BL0,2018-05-01 00:00:00,,,
BL0,2018-05-01 01:00:00,4.4,12.7,79.4
BL0,2018-05-01 02:00:00,,,
BL0,2018-05-01 03:00:00,,10.8,49.3
BL0,2018-05-01 04:00:00,,,
BL0,2018-05-01 05:00:00,4.7,10.6,44.4
BL0,2018-05-01 06:00:00,7.9,12.6,52.8
BL0,2018-05-01 07:00:00,8.3,16.2,67.3
BL0,2018-05-01 08:00:00,,,
BL0,2018-05-01 09:00:00,6.0,10.7,27.2
BL0,2018-05-01 10:00:00,6.5,12.1,22.2
BL0,2018-05-01 11:00:00,,12.6,24.3
BL0,2018-05-01 12:00:00,4.6,12.6,24.7
BL0,2018-05-01 13:00:00,4.6,11.9,24.5
BL0,2018-05-01 14:00:00,3.3,9.9,17.4
BL0,2018-05-01 15:00:00,,,
BL0,2018-05-01 16:00:00,,14.0,22.8
BL0,2018-05-01 17:00:00,,,
BL0,2018-05-01 18:00:00,2.0,10.6,20.8
BL0,2018-05-01 19:00:00,,14.8,21.0
BL0,2018-05-01 20:00:00,,13.5,23.1
BL0,2018-05-01 21:00:00,,10.4,28.5
BL0,2018-05-01 22:00:00,,,
BL0,2018-05-01 23:00:00,,9.8,23.5
BL0,2018-05-02 00:00:00,,,
BL0,2018-05-02 01:00:00,2.4,9.3,9.2
BL0,2018-05-02 02:00:00,,,
BL0,2018-05-02 03:00:00,2.2,10.3,5.7
BL0,2018-05-02 04:00:00,,,
BL0,2018-05-02 05:00:00,,4.6,13.2
BL0,2018-05-02 06:00:00,,8.2,19.9
BL0,2018-05-02 07:00:00,,9.4,29.3
BL0,2018-05-02 08:00:00,2.8,16.0,30.6
BL0,2018-05-02 09:00:00,2.9,7.5,28.9
BL0,2018-05-02 10:00:00,0.6,6.3,29.6
BL0,2018-05-02 11:00:00,2.1,4.0,31.4
BL0,2018-05-02 12:00:00,,4.7,35.8
BL0,2018-05-02 13:00:00,,,
BL0,2018-05-02 14:00:00,,,
BL0,2018-05-02 15:00:00,,1.4,57.2
BL0,2018-05-02 16:00:00,,5.2,52.0
BL0,2018-05-02 17:00:00,1.0,5.5,55.3
BL0,2018-05-02 18:00:00,1.4,7.2,
BL0,2018-05-02 19:00:00,1.9,2.9,87.2
BL0,2018-05-02 20:00:00,4.8,6.9,107.9
BL0,2018-05-02 21:00:00,8.1,14.8,88.4
BL0,2018-05-02 22:00:00,,,
BL0,2018-05-02 23:00:00,,12.9,95.4
BL0,2018-05-03 00:00:00,,,
BL0,2018-05-03 01:00:00,,13.1,78.0
BL0,2018-05-03 02:00:00,,,
BL0,2018-05-03 03:00:00,9.2,14.6,45.7
BL0,2018-05-03 04:00:00,,,
BL0,2018-05-03 05:00:00,,,
BL0,2018-05-03 06:00:00,,19.4,58.7
BL0,2018-05-03 07:00:00,6.3,21.0,71.9
BL0,2018-05-03 08:00:00,11.8,21.9,69.8
BL0,2018-05-03 09:00:00,8.3,,71.3
BL0,2018-05-03 10:00:00,,,
BL0,2018-05-03 11:00:00,5.4,12.6,31.7
BL0,2018-05-03 12:00:00,,10.6,31.2
BL0,2018-05-03 13:00:00,,11.9,24.9
BL0,2018-05-03 14:00:00,,,
BL0,2018-05-03 15:00:00,2.4,16.4,26.8
BL0,2018-05-03 16:00:00,,,
BL0,2018-05-03 17:00:00,,,
BL0,2018-05-03 18:00:00,,14.4,77.6
BL0,2018-05-03 19:00:00,7.3,16.5,44.0
BL0,2018-05-03 20:00:00,9.3,17.8,26.0
BL0,2018-05-03 21:00:00,,14.6,26.0
BL0,2018-05-03 22:00:00,,,
BL0,2018-05-03 23:00:00,4.4,11.7,25.2
BL0,2018-05-04 00:00:00,,,
BL0,2018-05-04 01:00:00,6.9,15.2,27.7
BL0,2018-05-04 02:00:00,,,
BL0,2018-05-04 03:00:00,4.6,12.5,24.5
BL0,2018-05-04 04:00:00,,,
BL0,2018-05-04 05:00:00,3.9,12.6,70.6
BL0,2018-05-04 06:00:00,9.5,18.6,56.8
BL0,2018-05-04 07:00:00,,18.7,58.9
BL0,2018-05-04 08:00:00,,22.9,41.9
BL0,2018-05-04 09:00:00,10.6,21.9,39.6
BL0,2018-05-04 10:00:00,,27.7,33.3
BL0,2018-05-04 11:00:00,6.9,19.3,34.2
BL0,2018-05-04 12:00:00,10.7,15.9,24.1
BL0,2018-05-04 13:00:00,10.4,24.3,32.9
BL0,2018-05-04 14:00:00,13.2,19.7,42.8
BL0,2018-05-04 15:00:00,,,
BL0,2018-05-04 16:00:00,,18.5,36.1
BL0,2018-05-04 17:00:00,,,
BL0,2018-05-04 18:00:00,,27.9,54.3
BL0,2018-05-04 19:00:00,13.9,30.5,66.2
BL0,2018-05-04 20:00:00,15.7,23.5,38.1
BL0,2018-05-04 21:00:00,,,
BL0,2018-05-04 22:00:00,,,
BL0,2018-05-04 23:00:00,,,
BL0,2018-05-05 00:00:00,,,
BL0,2018-05-05 01:00:00,,,
BL0,2018-05-05 02:00:00,,,
BL0,2018-05-05 03:00:00,,,
BL0,2018-05-05 04:00:00,,,
BL0,2018-05-05 05:00:00,,,
BL0,2018-05-05 06:00:00,,,
BL0,2018-05-05 07:00:00,,,
BL0,2018-05-05 08:00:00,8.8,20.3,52.8
BL0,2018-05-05 09:00:00,,24.7,39.4
BL0,2018-05-05 10:00:00,,21.3,33.1
BL0,2018-05-05 11:00:00,14.3,23.5,31.0
BL0,2018-05-05 12:00:00,,26.0,29.6
BL0,2018-05-05 13:00:00,15.4,25.9,29.3
BL0,2018-05-05 14:00:00,,22.6,28.5
BL0,2018-05-05 15:00:00,14.3,23.7,31.6
BL0,2018-05-05 16:00:00,,32.8,32.7
