id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3008333,london_grid_000,2018-04-28 00:00:00,CLOUDY,9.23,1005.8048,92.0,341.23,23.88
3008334,london_grid_001,2018-04-28 00:00:00,CLOUDY,8.66,1004.7872,93.0,342.25,21.38
3008335,london_grid_002,2018-04-28 00:00:00,CLOUDY,8.09,1003.7696,95.0,343.54,18.89
3008336,london_grid_003,2018-04-28 00:00:00,CLOUDY,7.61,1001.1072,96.0,345.37,17.39
3008337,london_grid_004,2018-04-28 00:00:00,CLOUDY,7.23,996.8,96.0,347.54,16.89
3008338,london_grid_005,2018-04-28 00:00:00,CLOUDY,6.84,992.4927,97.0,349.84,16.42
3008339,london_grid_006,2018-04-28 00:00:00,CLOUDY,6.69,991.936,97.0,352.63,16.63
3008340,london_grid_007,2018-04-28 00:00:00,CLOUDY,6.53,991.3792,97.0,355.35,16.88
3008341,london_grid_008,2018-04-28 00:00:00,CLOUDY,6.39,991.8496,97.0,357.62,17.0
3008342,london_grid_009,2018-04-28 00:00:00,CLOUDY,6.26,993.3472,97.0,359.51,16.97
3008343,london_grid_010,2018-04-28 00:00:00,CLOUDY,6.13,994.8448,97.0,1.41,16.96
3008344,london_grid_011,2018-04-28 00:00:00,CLOUDY,5.88,992.912,97.0,2.45,17.11
3008345,london_grid_012,2018-04-28 00:00:00,CLOUDY,5.63,990.9791,97.0,3.48,17.28
3008346,london_grid_013,2018-04-28 00:00:00,CLOUDY,5.46,990.7295,97.0,4.39,17.1
3008347,london_grid_014,2018-04-28 00:00:00,CLOUDY,5.37,992.1631,97.0,5.23,16.58
3008348,london_grid_015,2018-04-28 00:00:00,CLOUDY,5.27,993.5967,97.0,6.11,16.07
3008349,london_grid_016,2018-04-28 00:00:00,CLOUDY,5.33,994.8127,96.0,7.99,15.43
3008350,london_grid_017,2018-04-28 00:00:00,CLOUDY,5.38,996.0287,95.0,10.03,14.8
3008351,london_grid_018,2018-04-28 00:00:00,CLOUDY,5.49,995.3631,94.0,12.66,14.22
3008352,london_grid_019,2018-04-28 00:00:00,CLOUDY,5.67,992.8159,91.0,15.94,13.71
3008353,london_grid_020,2018-04-28 00:00:00,CLOUDY,5.85,990.2688,89.0,19.45,13.25
3008354,london_grid_021,2018-04-28 00:00:00,CLOUDY,9.35,1005.7792,92.0,340.29,23.55
3008355,london_grid_022,2018-04-28 00:00:00,CLOUDY,8.8,1004.8921,93.0,341.55,21.14
3008356,london_grid_023,2018-04-28 00:00:00,CLOUDY,8.25,1004.0051,95.0,343.13,18.74
3008357,london_grid_024,2018-04-28 00:00:00,CLOUDY,7.78,1001.7395,95.0,345.18,17.25
3008358,london_grid_025,2018-04-28 00:00:00,CLOUDY,7.38,998.0953,96.0,347.47,16.68
3008359,london_grid_026,2018-04-28 00:00:00,CLOUDY,6.99,994.4511,97.0,349.92,16.14
3008360,london_grid_027,2018-04-28 00:00:00,CLOUDY,6.79,992.9395,97.0,352.8,16.54
3008361,london_grid_028,2018-04-28 00:00:00,CLOUDY,6.59,991.4278,97.0,355.54,16.98
3008362,london_grid_029,2018-04-28 00:00:00,CLOUDY,6.42,991.0585,97.0,357.84,17.23
3008363,london_grid_030,2018-04-28 00:00:00,CLOUDY,6.26,991.8316,97.0,359.8,17.26
3008364,london_grid_031,2018-04-28 00:00:00,CLOUDY,6.1,992.6048,97.0,1.76,17.31
3008365,london_grid_032,2018-04-28 00:00:00,CLOUDY,5.91,992.0441,97.0,3.03,17.38
3008366,london_grid_033,2018-04-28 00:00:00,CLOUDY,5.73,991.4835,97.0,4.28,17.45
3008367,london_grid_034,2018-04-28 00:00:00,CLOUDY,5.57,991.358,97.0,5.45,17.3
3008368,london_grid_035,2018-04-28 00:00:00,CLOUDY,5.44,991.6678,97.0,6.57,16.92
3008369,london_grid_036,2018-04-28 00:00:00,CLOUDY,5.31,991.9775,97.0,7.75,16.54
3008370,london_grid_037,2018-04-28 00:00:00,CLOUDY,5.36,993.9283,96.0,9.6,15.9
3008371,london_grid_038,2018-04-28 00:00:00,PARTLY_CLOUDY_DAY,5.41,995.879,95.0,11.59,15.29
3008372,london_grid_039,2018-04-28 00:00:00,CLOUDY,5.51,995.8342,94.0,14.15,14.74
3008373,london_grid_040,2018-04-28 00:00:00,CLOUDY,5.66,993.7939,92.0,17.29,14.28
3008374,london_grid_041,2018-04-28 00:00:00,CLOUDY,5.81,991.7536,89.0,20.63,13.87
3008375,london_grid_042,2018-04-28 00:00:00,CLOUDY,9.46,1005.7536,92.0,339.33,23.24
3008376,london_grid_043,2018-04-28 00:00:00,CLOUDY,8.93,1004.9971,93.0,340.84,20.91
3008377,london_grid_044,2018-04-28 00:00:00,CLOUDY,8.4,1004.2406,94.0,342.72,18.6
3008378,london_grid_045,2018-04-28 00:00:00,CLOUDY,7.94,1002.3718,95.0,344.99,17.12
3008379,london_grid_046,2018-04-28 00:00:00,CLOUDY,7.54,999.3907,96.0,347.4,16.47
3008380,london_grid_047,2018-04-28 00:00:00,CLOUDY,7.13,996.4095,97.0,350.01,15.86
3008381,london_grid_048,2018-04-28 00:00:00,CLOUDY,6.89,993.943,97.0,352.98,16.45
3008382,london_grid_049,2018-04-28 00:00:00,CLOUDY,6.65,991.4764,97.0,355.73,17.09
3008383,london_grid_050,2018-04-28 00:00:00,CLOUDY,6.44,990.2675,97.0,358.06,17.45
3008384,london_grid_051,2018-04-28 00:00:00,CLOUDY,6.25,990.3161,97.0,0.09,17.55
3008385,london_grid_052,2018-04-28 00:00:00,CLOUDY,6.06,990.3648,97.0,2.1,17.66
3008386,london_grid_053,2018-04-28 00:00:00,CLOUDY,5.94,991.1763,97.0,3.58,17.64
3008387,london_grid_054,2018-04-28 00:00:00,CLOUDY,5.82,991.9878,97.0,5.06,17.63
3008388,london_grid_055,2018-04-28 00:00:00,CLOUDY,5.68,991.9865,97.0,6.48,17.51
3008389,london_grid_056,2018-04-28 00:00:00,CLOUDY,5.51,991.1724,97.0,7.87,17.25
3008390,london_grid_057,2018-04-28 00:00:00,CLOUDY,5.35,990.3583,97.0,9.3,17.01
3008391,london_grid_058,2018-04-28 00:00:00,CLOUDY,5.4,993.0438,96.0,11.11,16.39
3008392,london_grid_059,2018-04-28 00:00:00,PARTLY_CLOUDY_DAY,5.44,995.7292,95.0,13.06,15.79
3008393,london_grid_060,2018-04-28 00:00:00,PARTLY_CLOUDY_DAY,5.53,996.3052,94.0,15.53,15.27
3008394,london_grid_061,2018-04-28 00:00:00,CLOUDY,5.65,994.7718,92.0,18.54,14.86
3008395,london_grid_062,2018-04-28 00:00:00,CLOUDY,5.77,993.2384,90.0,21.71,14.5
3008396,london_grid_063,2018-04-28 00:00:00,CLOUDY,9.57,1005.5712,92.0,337.77,22.69
3008397,london_grid_064,2018-04-28 00:00:00,CLOUDY,9.06,1004.8441,94.0,339.64,20.36
3008398,london_grid_065,2018-04-28 00:00:00,CLOUDY,8.55,1004.1171,95.0,341.98,18.07
3008399,london_grid_066,2018-04-28 00:00:00,CLOUDY,8.1,1002.5497,95.0,344.63,16.64
3008400,london_grid_067,2018-04-28 00:00:00,CLOUDY,7.7,1000.142,96.0,347.23,16.09
3008401,london_grid_068,2018-04-28 00:00:00,CLOUDY,7.31,997.7343,96.0,350.01,15.57
3008402,london_grid_069,2018-04-28 00:00:00,CLOUDY,7.03,994.7135,97.0,353.01,16.31
3008403,london_grid_070,2018-04-28 00:00:00,CLOUDY,6.75,991.6927,97.0,355.75,17.09
3008404,london_grid_071,2018-04-28 00:00:00,RAIN,6.5,989.9852,97.0,358.08,17.56
3008405,london_grid_072,2018-04-28 00:00:00,RAIN,6.29,989.591,97.0,0.18,17.71
3008406,london_grid_073,2018-04-28 00:00:00,RAIN,6.07,989.1968,97.0,2.23,17.88
3008407,london_grid_074,2018-04-28 00:00:00,CLOUDY,5.99,990.9388,97.0,3.93,17.83
3008408,london_grid_075,2018-04-28 00:00:00,CLOUDY,5.91,992.6809,97.0,5.63,17.79
3008409,london_grid_076,2018-04-28 00:00:00,CLOUDY,5.78,992.7756,97.0,7.26,17.7
3008410,london_grid_077,2018-04-28 00:00:00,CLOUDY,5.59,991.223,97.0,8.84,17.55
3008411,london_grid_078,2018-04-28 00:00:00,CLOUDY,5.4,989.6703,97.0,10.45,17.42
3008412,london_grid_079,2018-04-28 00:00:00,CLOUDY,5.44,992.599,96.0,12.23,16.87
3008413,london_grid_080,2018-04-28 00:00:00,PARTLY_CLOUDY_DAY,5.48,995.5276,96.0,14.14,16.33
3008414,london_grid_081,2018-04-28 00:00:00,PARTLY_CLOUDY_DAY,5.54,996.4857,94.0,16.48,15.88
3008415,london_grid_082,2018-04-28 00:00:00,CLOUDY,5.61,995.4733,93.0,19.24,15.54
3008416,london_grid_083,2018-04-28 00:00:00,CLOUDY,5.68,994.4608,91.0,22.11,15.24
3008417,london_grid_084,2018-04-28 00:00:00,CLOUDY,9.68,1005.232,93.0,335.51,21.92
3008418,london_grid_085,2018-04-28 00:00:00,CLOUDY,9.18,1004.4332,94.0,337.85,19.52
3008419,london_grid_086,2018-04-28 00:00:00,CLOUDY,8.68,1003.6345,95.0,340.84,17.16
3008420,london_grid_087,2018-04-28 00:00:00,CLOUDY,8.24,1002.2732,96.0,344.07,15.84
3008421,london_grid_088,2018-04-28 00:00:00,CLOUDY,7.88,1000.3494,96.0,346.94,15.54
3008422,london_grid_089,2018-04-28 00:00:00,CLOUDY,7.51,998.4255,96.0,349.93,15.28
3008423,london_grid_090,2018-04-28 00:00:00,CLOUDY,7.19,995.2511,97.0,352.91,16.12
3008424,london_grid_091,2018-04-28 00:00:00,RAIN,6.87,992.0767,97.0,355.59,17.0
3008425,london_grid_092,2018-04-28 00:00:00,RAIN,6.59,990.2118,97.0,357.92,17.55
3008426,london_grid_093,2018-04-28 00:00:00,RAIN,6.36,989.6563,97.0,0.07,17.75
3008427,london_grid_094,2018-04-28 00:00:00,RAIN,6.13,989.1008,98.0,2.18,17.98
3008428,london_grid_095,2018-04-28 00:00:00,RAIN,6.07,991.3318,97.0,4.08,17.94
3008429,london_grid_096,2018-04-28 00:00:00,CLOUDY,6.01,993.5628,97.0,5.99,17.91
